L,D,Ln,Dn,eq,M
0.0,0.0,0.0,0.0,bolu_gerde,7.3
1.7,0.066,0.01,0.35,bolu_gerde,7.3
3.3,1.33,0.02,0.71,bolu_gerde,7.3
5.0,1.09,0.03,0.58,bolu_gerde,7.3
6.6,0.98,0.04,0.52,bolu_gerde,7.3
8.3,1.09,0.05,0.58,bolu_gerde,7.3
9.9,1.23,0.06,0.66,bolu_gerde,7.3
11.6,1.35,0.07,0.72,bolu_gerde,7.3
13.2,1.47,0.08,0.78,bolu_gerde,7.3
14.9,1.59,0.09,0.85,bolu_gerde,7.3
16.5,1.71,0.1,0.91,bolu_gerde,7.3
18.2,1.83,0.11,0.98,bolu_gerde,7.3
19.8,1.96,0.12,1.04,bolu_gerde,7.3
21.5,2.08,0.13,1.11,bolu_gerde,7.3
23.1,2.21,0.14,1.18,bolu_gerde,7.3
24.8,2.33,0.15,1.24,bolu_gerde,7.3
26.4,2.45,0.16,1.31,bolu_gerde,7.3
28.1,2.63,0.17,1.4,bolu_gerde,7.3
29.7,3.14,0.18,1.68,bolu_gerde,7.3
31.4,3.52,0.19,1.88,bolu_gerde,7.3
33.0,3.48,0.2,1.86,bolu_gerde,7.3
34.7,3.41,0.21,1.82,bolu_gerde,7.3
36.3,3.35,0.22,1.79,bolu_gerde,7.3
38.0,3.29,0.23,1.75,bolu_gerde,7.3
39.6,3.22,0.24,1.72,bolu_gerde,7.3
41.3,3.16,0.25,1.68,bolu_gerde,7.3
42.9,3.09,0.26,1.65,bolu_gerde,7.3
44.6,3.03,0.27,1.62,bolu_gerde,7.3
46.2,2.98,0.28,1.59,bolu_gerde,7.3
47.9,2.94,0.29,1.57,bolu_gerde,7.3
49.5,2.89,0.3,1.54,bolu_gerde,7.3
51.2,2.84,0.31,1.52,bolu_gerde,7.3
52.8,2.8,0.32,1.49,bolu_gerde,7.3
54.5,2.75,0.33,1.47,bolu_gerde,7.3
56.1,2.7,0.34,1.44,bolu_gerde,7.3
57.8,2.65,0.35,1.41,bolu_gerde,7.3
59.4,2.6,0.36,1.39,bolu_gerde,7.3
61.1,2.55,0.37,1.36,bolu_gerde,7.3
62.7,2.5,0.38,1.33,bolu_gerde,7.3
64.4,2.45,0.39,1.31,bolu_gerde,7.3
66.0,2.4,0.4,1.28,bolu_gerde,7.3
67.7,2.35,0.41,1.25,bolu_gerde,7.3
69.3,2.3,0.42,1.23,bolu_gerde,7.3
71.0,2.26,0.43,1.2,bolu_gerde,7.3
72.6,2.21,0.44,1.18,bolu_gerde,7.3
74.3,2.16,0.45,1.15,bolu_gerde,7.3
76.0,2.25,0.46,1.2,bolu_gerde,7.3
77.6,2.85,0.47,1.52,bolu_gerde,7.3
79.3,2.94,0.48,1.57,bolu_gerde,7.3
80.9,2.87,0.49,1.53,bolu_gerde,7.3
82.6,2.8,0.5,1.49,bolu_gerde,7.3
84.2,2.73,0.51,1.45,bolu_gerde,7.3
85.9,2.66,0.52,1.42,bolu_gerde,7.3
87.5,2.58,0.53,1.38,bolu_gerde,7.3
89.2,2.51,0.54,1.34,bolu_gerde,7.3
90.8,2.44,0.55,1.3,bolu_gerde,7.3
92.5,2.37,0.56,1.27,bolu_gerde,7.3
94.1,2.3,0.57,1.23,bolu_gerde,7.3
95.8,2.23,0.58,1.19,bolu_gerde,7.3
97.4,2.16,0.59,1.15,bolu_gerde,7.3
99.1,2.08,0.6,1.11,bolu_gerde,7.3
100.7,2.02,0.61,1.08,bolu_gerde,7.3
102.4,1.95,0.62,1.04,bolu_gerde,7.3
104.0,1.88,0.63,1.0,bolu_gerde,7.3
105.7,1.81,0.64,0.96,bolu_gerde,7.3
107.3,1.74,0.65,0.93,bolu_gerde,7.3
109.0,1.66,0.66,0.89,bolu_gerde,7.3
110.6,1.59,0.67,0.85,bolu_gerde,7.3
112.3,1.52,0.68,0.81,bolu_gerde,7.3
113.9,1.5,0.69,0.8,bolu_gerde,7.3
115.6,1.5,0.7,0.8,bolu_gerde,7.3
117.2,1.5,0.71,0.8,bolu_gerde,7.3
118.9,1.52,0.72,0.81,bolu_gerde,7.3
120.5,1.52,0.73,0.81,bolu_gerde,7.3
122.2,1.52,0.74,0.81,bolu_gerde,7.3
123.8,1.49,0.75,0.8,bolu_gerde,7.3
125.5,1.44,0.76,0.77,bolu_gerde,7.3
